,Normal Error Percents,CKKS Error Percents
-4290,2017118.2305616178,2017249.1025787054
-4300,2052140.5756735548,2052273.7377340852
-4310,2087732.3766472181,2087867.9297778588
-4320,2123902.2660881225,2124039.6174903195
-4330,2160658.9979881374,2160799.2638320653
-4340,2198011.4492992833,2198154.2836711784
-4350,2235968.6215263475,2236113.98828277
-4360,2274539.64233825,2274688.083111826
-4370,2313733.7671986413,2313884.1751137185
-4380,2353560.381015647,2353713.539745922
-4390,2394028.9998112735,2394185.389529254
-4400,2435149.272410363,2435308.209147209
-4410,2476930.9821496257,2477092.2213795637
-4420,2519384.0486066854,2519548.2150565186
-4430,2562518.5293495716,2562685.516320519
-4440,2606344.6217067023,2606514.5787316547
-4450,2650872.664557736,2651045.212061215
-4460,2696113.140145354,2696289.4077752624
-4470,2742076.6759083644,2742255.7245197147
-4480,2788774.046336174,2788956.133321959
-4490,2836216.1748450524,2836401.497800577
-4500,2884414.1356762117,2884602.533918642
-4510,2933379.1558161355,2933570.5698911543
-4520,2983122.616939211,2983317.2169493088
-4530,3033656.0573730757,3033854.668894881
-4540,3084991.174086709,3085192.930819808
-4550,3137139.824701781,3137345.351594736
-4560,3190114.029527187,3190322.5020846776
-4570,3243925.973617328,3244138.271069604
-4580,3298588.008854105,3298803.927436135
-4590,3354112.6560531417,3354332.480768257
-4600,3410512.607094195,3410735.7997251726
-4610,3467800.727076345,3468028.411458389
-4620,3525990.0564978854,3526222.184181719
-4630,3585093.8134614727,3585328.7808915908
-4640,3645125.3959045387,3645364.2056336175
-4650,3706098.383855483,3706340.997361728
-4660,3768026.5417156196,3768273.499085344
-4670,3830923.8205675166,3831174.9845697065
-4680,3894804.3605095865,3895060.609792405
-4690,3959682.493017595,3959943.0844236217
-4700,4025572.743333057,4025837.043585776
-4710,4092489.832878986,4092758.7128785467
-4720,4160448.681703233,4160721.988008116
-4730,4229464.410949649,4229741.858881268
-4740,4299552.345357438,4299834.799811981
-4750,4370728.015788936,4371015.460677394
-4760,4443007.161786136,4443299.377588883
-4770,4516405.73415625,4516702.874208275
-4780,4590939.897586599,4591242.112521896
-4790,4666626.033289147,4666933.501816591
-4800,4743480.741674979,4743792.648009929
-4810,4821520.845059037,4821838.07408491
-4820,4900763.390395381,4901087.112087194
-4830,4981225.652043378,4981552.766998593
-4840,5062925.134565048,5063257.239301469
-4850,5145879.57555392,5146218.551221602
-4860,5230106.94849574,5230451.453413839
-4870,5315625.46566134,5315976.113065874
-4880,5402453.581031956,5402809.522096139
-4890,5490609.993257396,5490972.045000665
-4900,5580113.648647376,5580481.922100159
-4910,5670983.7441963125,5671358.311834031
-4920,5763239.730641947,5763620.58802635
-4930,5856901.315558173,5857286.91690028
-4940,5951988.4664823655,5952381.448159874
-4950,6048521.414077557,6048920.669734429
-4960,6146520.655329901,6146926.474517269
